major_area_code,station_code,Site_name,y,x
2,81,(Waddell's Ramp and Wilson's Ramp - Deleted 11/21/91),29.333888889,-94.69777778
2,82,(North Galveston Jetty Ramp - Deleted 11/21/83),29.368333333,-94.75111111
2,83,Galveston Yacht Basin Ramp,29.318055556,-94.77638889
2,84,Moses Lake Marina Ramp,29.418611111,-94.925
2,85,Clear Lake Public Ramps (main ramp and ramp by building),29.563611111,-95.06944444
2,86,(Dollar Bay Ramp - Deleted 11/21/94),29.421944444,-94.89138889
2,87,(Cotton's Bait Camp Ramp - Deleted 5/15/93),29.485555556,-94.93277778
2,88,(Brazoria County Ramp 57A at Third Street - Deleted 11/21/08),28.998055556,-95.2325
2,89,High Island State Ramp,29.593888889,-94.39083333
2,90,(San Jacinto Bay Bridge Ramp - Deleted 10/3/81),,
2,91,(Shore Acres Private Ramp - Deleted 11/21/98),29.623611111,-95.00944444
2,92,(Tiger Marina Ramp - Deleted 10/3/81),,
2,93,Halls Bayou Bridge Public Ramp,29.286111111,-95.13055556
2,94,Horseshoe Bend Ramp,29.243055556,-95.23138889
2,95,The Oasis II Ramp,29.479166667,-94.60444444
2,96,(Omega Bay Private Ramp - Deleted 11/21/94),29.330277778,-94.93666667
2,97,(Bastrop Bayou Private Ramp - Deleted 11/21/94),29.082222222,-95.28638889
2,98,2 J’s Ramp (Freeport),28.899166667,-95.4925
2,99,(Dolphin Street Ramp (Freeport) - Deleted 5/15/93),28.956111111,-95.28666667
2,100,"Swan Lake Public Ramp (Bay Street, Freeport)",28.979444444,-95.26833333
2,101,(Bridge Harbor Marina Ramp (Freeport) - Deleted 5/15/84),28.962777778,-95.29277778
2,102,(Freeport State Ramp (under ICWW bridge) - Deleted 11/21/92),28.956111111,-95.29222222
2,103,(Ducroz Ramp (Freeport) - Deleted 5/15/97),28.875,-95.45527778
2,104,Oyster Creek Ramp (Freeport),29.010555556,-95.32805556
2,105,Freeport Municipal Park Public Ramp,28.961944444,-95.37083333
2,106,Freeport Community Center Public Ramp,28.955833333,-95.36222222
2,107,(Turtle Cove Ramp (Freeport) - Deleted 11/21/87),29.001944444,-95.30722222
2,108,Bennet's Motel Ramp,28.876388889,-95.45944444
2,109,San Bernard River Public Ramp,28.869722222,-95.44611111
2,110,(Linda L's Bait Camp Ramp (Freeport) - Deleted 5/15/93),29.333888889,-94.69638889
2,111,New Brazos River Dike Public Ramp,28.902222222,-95.38472222
2,112,(Teakwood Marina Ramp - Deleted 11/21/07),29.299166667,-94.905
2,113,Three Stars Marina Ramp,29.42,-94.92527778
2,114,Clear Lake Shores Public Ramp,29.55,-95.02944444
2,115,(Boyt Road Private Ramp - Deleted 11/21/94),29.428611111,-94.70194444
2,116,(Galveston Yacht Basin Boat Barn - Deleted 11/21/08),29.317222222,-94.77555556
2,117,Galveston Yacht Basin Dock A (50 wet slips; party boats),29.319166667,-94.77361111
2,118,Galveston Yacht Basin Dock B (119 wet slips; party boats),29.318611111,-94.77472222
2,119,Galveston Yacht Basin Dock C (121 wet slips; party boats),29.318888889,-94.775
2,120,Galveston Yacht Basin Dock D (95 wet slips; party boats),29.319444444,-94.775
2,121,(Turtle Lake Apartments Ramp - Deleted 5/15/94),29.277222222,-94.84666667
2,122,(Havre Lafitte Private Ramp - Deleted 11/21/94),29.263055556,-94.84138889
2,123,(Treasure Island Ramp - Deleted 11/21/01),29.075833333,-95.13055556
2,124,(Turtle Cove North Shore Boat Shed - Deleted 11/21/83),,
2,125,(Turtle Cove South Shore Boat Shed - Deleted 11/21/83),,
2,126,(Hide-A-Way on the Gulf Ramp - Deleted 5/15/88),29.002222222,-95.30166667
2,127,(Kirby Marina Docks - Deleted 11/21/97),29.007777778,-95.31583333
2,128,Under the Bridge Bar Bait Camp Ramp,29.095277778,-95.28333333
2,129,(Marlin Marina Boat Shed - Deleted 11/21/85),29.09,-95.2775
2,130,(Horseshoe Bend Camp Boat Shed - Deleted 11/21/95),29.243888889,-95.23194444
2,131,(Timber Cove Private Ramp - Deleted 11/21/94),29.574166667,-95.05138889
2,132,(Bridge Harbor Canal Front Slips - Deleted 5/15/84),29.574166667,-95.05138889
2,133,Bridge Harbor Canal Dock A (34 wet slips; party boats),28.9625,-95.29111111
2,134,Bridge Harbor Canal Docks B and C (70 wet slips; party boats),28.961944444,-95.29166667
2,135,(Bridge Harbor Canal Dock C - Deleted 5/15/85),,
2,136,Bridge Harbor Canal Docks D and E (76 wet slips; party boats),28.961388889,-95.29277778
2,137,"Bridge Harbor Canal Docks F, G, H, and I (85 wet slips; party boats)",28.961111111,-95.29333333
2,138,(Harbor Cove Docks - Deleted 11/21/83),29.3025,-94.89944444
2,139,"(Payco Marina Docks C, CC, and F - Deleted 11/21/08)",29.287222222,-94.87194444
2,140,(Lutes Marina Boat House - Deleted 11/21/99),29.253055556,-95.23277778
2,141,Saltgrass Bait Camp Ramp,28.965277778,-95.3075
2,142,(San Leon Marina Boat Sheds - Deleted 5/15/95),29.496388889,-94.91611111
2,143,(Bonno's Bait Camp Ramp - Deleted 5/15/85),,
2,144,(El Jardin Private Ramp - Deleted 11/21/94),29.5975,-94.98611111
2,145,Freeport New Brazos River Public Ramp,28.9644,-95.3742
2,146,(Key Largo Ramp - Deleted 11/21/89),29.030555556,-95.1975
2,147,(Texas City Dike Marina Lift - Deleted 5/15/95),29.366944444,-94.81416667
2,148,(Public Ramp just East of Cedar Cut - Deleted 5/15/85),,
2,149,(Public Ramp just West of Cedar Cut - Deleted 11/21/94),29.030555556,-95.19777778
2,150,Not previously assigned,,
2,151,(The Galley Ramp - Deleted 11/21/97),29.710277778,-95.00305556
2,152,Walter Hall County Park Ramp (League City),29.511666667,-95.10277778
2,153,Dickinson Bayou County Ramp (State Hwy. 3),29.456111111,-95.0475
2,154,(Payco Marina Dock D - Deleted 11/21/08),29.2875,-94.87305556
2,155,Hitchcock Public Ramp,29.335555556,-95.02305556
2,156,New Brazos River State Hwy. 36 Bridge Public Ramp,28.946388889,-95.38055556
2,157,(Lea's Bolivar Bait Camp Ramp - Deleted 11/21/04),29.432222222,-94.70888889
2,158,Sportsman Road Ramp,29.259166667,-94.91111111
2,159,(Dan's Ramp - Deleted 11/21/00),29.386388889,-94.87583333
2,160,"Ben Blackledge Public Ramp (under State Hwy. 146, Kemah side)",29.548055556,-95.02222222
2,161,(Gulf Coast Guide Service Dock - Deleted 11/21/08),29.496111111,-94.91
2,162,(Ermin Pilsner Public Ramp - Deleted 11/21/08),29.3697,-94.7511
2,163,(Clear Lake Parkside Lift - Deleted 5/15/07),29.563611111,-95.06666667
2,164,(Cold Pass Marina Ramp - Deleted 11/21/01),29.057222222,-95.145
2,165,(Sneak'N Out Ramp - Deleted 11/21/07),29.590277778,-95.04055556
2,166,(Club Nautico at Payco Marina (rent boats only) - Deleted 5/15/92),,
2,167,(Bay Oaks Harbor Private Ramp - Deleted 11/21/94),29.698055556,-94.88694444
2,168,Bridge Bait Ramp,28.956111111,-95.29416667
2,169,West End Marina at Sea Isle Ramp (includes 3 docks with 54 wet slips),29.145,-95.04694444
2,170,Hornbeck's Bait Camp Ramp,29.389166667,-94.75972222
2,171,Anahuac National Wildlife Refuge Oyster Bayou Ramp,29.613611111,-94.52861111
2,172,Anahuac National Wildlife Refuge Bay Ramp,29.575,-94.55583333
2,173,League City Farm Road 270 Public Ramp,29.535,-95.09472222
2,174,Seabrook State Hwy. 146 Bridge Public Ramp,29.550833333,-95.02333333
2,175,(Quintana Public Ramp - Deleted 5/15/05),28.931666667,-95.31916667
2,176,Dollar Point Public Ramp,29.421944444,-94.88972222
2,177,V. H. “Buddy” McBride Public Ramp,29.7125,-94.99222222
2,178,Bridge Harbor Canal Dock X (30 wet slips; party boats),28.961666667,-95.29194444
2,179,(Red Tin Building Ramp - Deleted 11/21/08),29.331388889,-94.94611111
2,180,(Eddie Gray Wetlands Center Public Ramp - Deleted 5/15/12),29.733055556,-94.98555556
2,181,Village of Surfside Public Ramp,28.942777778,-95.30111111
2,182,Quintana Bridge Public Ramp (Farm Road 1495 at ICWW),28.922222222,-95.34277778
2,183,Texas City Dike Public Ramp,29.386388889,-94.87472222
2,184,Gulf Coast Marina Drystack,28.956666,-95.2908333
2,185,Bluewater Bait Camp,29.452222,-94.670277
3,1,Froggie's Public Ramp,28.432777778,-96.43305556
3,2,Fishing Center Ramp,28.439166667,-96.41416667
3,3,(Tweety's Bait Ramp - Deleted 11/21/04),28.436666667,-96.42388889
3,4,Indianola Marina Ramp,28.511666667,-96.48833333
3,5,Magnolia Beach Public Ramp,28.561111111,-96.53944444
3,6,Chocolate Bayou Public Ramp,28.578611111,-96.65027778
3,7,Harbor Refuge Public Ramp,28.595,-96.61972222
3,8,Lavaca Causeway Public Ramp (State Hwy. 35),28.639444444,-96.61194444
3,9,Point Comfort Public Ramp,28.681666667,-96.56277778
3,10,Florence Bait Camp Ramp,28.64,-96.45861111
3,11,Crescent V Public Ramp,28.737777778,-96.40194444
3,12,At Last Marina Ramp (includes wet slips),28.636666667,-96.35416667
3,13,Turtle Bridge Public Ramp,28.720833333,-96.27333333
3,14,Turning Basin Ramp,28.696388889,-96.23083333
3,15,(Palacios Bait Camp Ramp - Deleted 11/21/96),28.696388889,-96.21972222
3,16,East Bay Public Ramp,28.704444444,-96.20916667
3,17,Grassy Point Bait Camp Ramp,28.714722222,-96.20055556
3,18,Tres Palacios River Public Ramp,28.786388889,-96.15
3,19,River Bend Public Ramp,28.67,-95.96444444
3,20,(Al's Ramp - Deleted 5/15/03),28.639444444,-95.96722222
3,21,(Gilmer's Ramp - Deleted 6/15/82),,
3,22,Rawlings Ramp,28.627777778,-95.97027778
3,23,(UFO Ramp - Deleted 5/15/84),28.710277778,-95.91388889
3,24,Caney Creek Marina Ramp,28.772222222,-95.63416667
3,25,Bridge Cove Marina Ramp,28.771111111,-95.61805556
3,26,(Cherry's Ramp - Deleted 5/15/84),28.600833333,-95.97777778
3,27,(Bulkhead Marina Lift - Deleted 5/15/80),,
3,28,Chinquapin Ramp,28.757777778,-95.77388889
3,29,(The Wharf Ramp - Deleted 5/15/94),28.637777778,-96.35555556
3,30,(St. Marys Bayou Ramp - Deleted 11/21/05),28.643611111,-95.96444444
3,31,Six-Mile Park Public Ramp,28.694166667,-96.66388889
3,32,(Don Juan Marina Ramp - Deleted 5/15/97),28.7725,-95.61527778
3,33,Brookings Boat Shed (34 wet slips),28.709444444,-96.21
3,34,(Collegeport Ramp - Deleted 11/21/85),28.729444444,-96.18611111
3,35,Jensen Point Public Ramp,28.6875,-96.27416667
3,36,Port Alto Ramp & Boat Sheds (includes 107 wet slips in 2 sheds),28.6575,-96.41611111
3,37,(Ramp at East End of Port Lavaca Causeway - Deleted 11/21/86),28.660555556,-96.58416667
3,38,(Coloma Creek Bridge (launching from shore) - Deleted 11/21/86),28.479722222,-96.55138889
3,39,(Fishing Center Boat Sheds - Deleted 5/15/84),28.438055556,-96.41527778
3,40,Not previously assigned,,
3,41,(McKinney Boat Sheds - Deactivated as crossover site 5/15/92),28.437777778,-96.41583333
3,42,(Power's Boat Sheds - Deleted 5/15/99),28.438055556,-96.41666667
3,43,(Alligator Head East Boat Sheds - Deactivated as crossover site 5/15/92),28.436666667,-96.42138889
3,44,(Alligator Head West Boat Sheds - Deactivated as crossover site 5/15/92),28.436388889,-96.42166667
3,45,(Weathersby's Boat Sheds - Deactivated as crossover site 5/15/92),28.433333333,-96.43
3,46,(C and R Bait Camp Ramp - Deleted 11/21/06),28.688055556,-95.96555556
3,47,Selkirk Island Ramp,28.768055556,-96.00055556
3,48,(Karen's Ramp - Deleted 5/15/92),28.773888889,-95.62083333
3,49,Lolita Public Ramp,28.833055556,-96.57638889
3,50,Frell's Landing Ramp,28.822777778,-96.57444444
3,51,(Holiday Harbor Marina Ramp - Deleted 11/21/87),28.769444444,-95.61888889
3,53,Powderhorn RV Park Ramp,28.509722222,-96.50638889
3,54,(Jackson County Ramp - Deleted 5/15/94),28.666944444,-96.40833333
3,55,(Boca Chica Ramp - Deleted 5/15/94),28.685277778,-96.39166667
3,56,(Allen's Landing Ramp - Deleted 11/21/04),28.654166667,-95.9625
3,57,Garcitas Creek Public Ramp,28.7775,-96.69861111
3,58,West Carancahua River Ramp,28.82,-96.4025
3,59,Matagorda Harbor Public Ramp,28.692777778,-95.95805556
3,60,Railroad Park Public Ramp,28.698055556,-96.21805556
3,61,La Salle Ramp,28.743888889,-96.66305556
3,62,Clark's Seafood Ramp (includes wet slips),28.440277778,-96.41472222
3,63,Crab Trap Ramp,28.768055556,-95.64027778
3,64,Matagorda Harbor Boat Stalls (104 wet slips),28.693888889,-95.95527778
3,65,Olivia Park Public Ramp,28.636388889,-96.45694444
3,66,Caney Club Ramp,28.772777778,-95.63444444
3,67,Colorado River Park Public Ramp (Farm Road 521),28.787222222,-95.99555556
3,68,(Southwest Cut Ramp - Deleted 5/15/05),28.626388889,-95.97055556
3,69,Mitchell’s Cut Public Ramp,28.763333333,-95.63194444
3,70,Charlie’s Bait Ramp,28.769722222,-95.635
3,71,Peninsula Park Ramp,28.617777778,-96.62083333
3,72,LCRA Public Ramp,28.602777,-95.9775
3,73,Kayak Park (Farm Road 2031),28.6442,-95.9647
4,1,Fishing Center Ramp,28.439166667,-96.41416667
4,2,Froggie's Public Ramp,28.432777778,-96.43305556
4,3,(Tweety’s Bait Ramp - Deleted 11/21/04),28.436666667,-96.42388889
4,4,Shoalwater Flats Association Ramp,28.365555556,-96.57805556
4,5,Swan Point Public Ramp,28.391388889,-96.70944444
4,6,Seadrift Harbor Ramp,28.408055556,-96.71166667
4,7,Austwell Public Ramp,28.395555556,-96.83944444
4,8,Hopper's Landing Ramp,28.346666667,-96.79472222
4,9,(Pete's Bait Camp Ramp - Deleted 8/17/79),,
4,10,(Morgan's Bait Camp Ramp - Deleted 8/17/79),,
4,11,(Fishing Center Boat Sheds - Deleted 5/15/84),28.438055556,-96.41527778
4,12,(Beacon 21 Ramp - Deleted 11/21/91),28.363888889,-96.57916667
4,13,McKinney Boat Sheds (12 wet slips),28.4375,-96.41583333
4,14,(Power's Boat Sheds - Deleted 5/15/99),28.438055556,-96.41666667
4,15,Alligator Head East Boat Sheds (28 wet slips),28.437777778,-96.41861111
4,16,Alligator Head West Boat Sheds (49 wet slips),28.437222222,-96.42
4,17,Weathersby's Boat Sheds (38 wet slips),28.434444444,-96.43027778
4,18,(Louie Walker's Ramp - Deleted 11/21/94),28.447222222,-96.76527778
4,19,(Carbide Ramp - Deleted 11/21/02),28.486111111,-96.77638889
4,20,Goose Island State Park Ramp,28.128055556,-96.98555556
4,21,Clark's Seafood Ramp (includes wet slips),28.440277778,-96.41472222
4,22,Charlie's Bait Camp Ramp,28.364444444,-96.58138889
4,23,Seadrift Bayfront Park Public Ramp,28.409444444,-96.72305556
4,24,Voss' Boat Sheds (24 wet slips),28.433888889,-96.42888889
4,25,Fishing Center Dock (17 wet slips),28.438333333,-96.415
4,26,Dolphin Point Boat Shed (30 wet slips),28.440833333,-96.41277778
4,27,Las Palmas Marina Boat Sheds (16 wet slips in 2 buildings),28.4325,-96.43277778
4,28,Larry’s Harbor Marina Ramp (includes 28 wet slips in 1 building),28.429444444,-96.4375
4,29,St Charles Marina Public Ramp,28.1419,-96.9767
5,1,Little Bay Public Ramp,28.030555556,-97.03805556
5,2,Fulton Harbor Public Ramp,28.060277778,-97.03333333
5,3,South Copano Causeway Public Ramp (State Hwy. 35),28.113333333,-97.02444444
5,4,Sea Gun Marina Ramp (includes wet slips),28.137222222,-97.00666667
5,5,Goose Island State Park Ramp,28.128055556,-96.98555556
5,6,St. Charles Marina Public Ramp,28.141944444,-96.97666667
5,7,Holiday Beach South Ramp,28.163611111,-97.00805556
5,8,(Herndon's Hideaway Ramp - Deleted 2/29/88),28.085277778,-97.06972222
5,9,(Klein's Rattlesnake Point Ramp - Deleted 5/15/84),,
5,10,Redfish Camp Ramp,27.992222222,-97.16472222
5,11,Egery Island Marina Ramp,28.070833333,-97.21916667
5,12,(North Conn Brown Harbor Ramp - Deleted 11/21/85),27.913055556,-97.13333333
5,13,South Conn Brown Harbor Public Ramp,27.9,-97.13583333
5,14,(Fin & Feather Marina Ramp - Deactivated as crossover site 5/15/05),27.888333333,-97.11166667
5,15,South Bay Marina Ramp (includes wet slips and rent boats),27.881111111,-97.09916667
5,16,Palm Harbor Marina Docks (39 wet slips),27.9675,-97.08916667
5,17,Cove Harbor North Public Ramp (includes wet slips),27.991666667,-97.0725
5,18,(Port Bay Ramp - Deleted 11/21/82),,
5,19,(Rockport Turning Basin Ramp - Deleted 11/21/94),28.024444444,-97.04916667
5,20,Tarpon Shores Ramp (includes wet slips),27.874722222,-97.09305556
5,21,(Pouzee's Ramp - Deleted 11/21/95),28.063333333,-97.11111111
5,22,Bayside Public Ramp,28.077222222,-97.22083333
5,23,(Lonyo's Cajun Marina Ramp - Deleted 5/15/03),27.879722222,-97.09722222
5,24,Sand Dollar Ramp (includes wet slips),28.073055556,-97.035
5,25,(Key Allegro Marina - Deleted 5/15/82),,
5,26,(Key Allegro North Ramp - Deleted 12/1/80),,
5,27,(Racquet Club Ramp - Deleted 5/15/82),,
5,28,Aransas Pass Airport Public Ramp,27.89,-97.14861111
5,29,Port Aransas Public Ramp (includes wet slips),27.838055556,-97.06666667
5,30,(Woody's Ramp - Deleted 11/21/98),27.838333333,-97.06222222
5,31,(Harbor Oaks Ramp - Deleted 5/15/92),28.051944444,-97.03527778
5,32,(Key Allegro Boat Shed B - Deleted 5/15/96),28.041666667,-97.03055556
5,33,(Key Allegro Boat Shed A and T-Head - Deleted 5/15/96),28.041666667,-97.03055556
5,34,(Sea Foam Motel Ramp - Deleted 2/29/88),28.058611111,-97.03333333
5,35,(Harbor East Docks - Deactivated as crossover site 5/15/92),27.889444444,-97.14666667
5,36,(Harbor West Docks - Deactivated as crossover site 5/15/92),27.889444444,-97.14972222
5,37,(Woody's West Docks - Deactivated as crossover site 5/15/92),27.838333333,-97.06166667
5,38,(Woody's East Docks - Deleted 11/21/92),27.838333333,-97.06111111
5,39,(Sports Center South Dock - Deleted 11/21/92),27.838611111,-97.06027778
5,40,(Sports Center North Dock - Deleted 11/21/92),27.839166667,-97.06027778
5,41,(Keller's Marina Boat Ramp - Deleted 11/21/85),28.076111111,-97.1
5,42,Mission River Public Ramp,28.182777778,-97.21833333
5,43,(Lindsay's Landing Ramp - Deleted 5/15/99),27.936944444,-97.11805556
5,44,(Hampton's Landing Dock - Deactivated as crossover site 5/15/92),27.888888889,-97.14777778
